Participante,Dialogo
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Me gustaría recordar que el numeral decimoctavo de los lineamientos de operación y funcionamiento del CONACES establece y cito textualmente se podrá acordar la formación de comisiones de trabajo integradas por consejeros, funcionarios, actores involucrados en el proceso educativo y especialistas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Al tratarse de un órgano colegiado amplio compuesto por más de 120 integrantes, se considera útil crear grupos más pequeños que se encarguen de temas puntuales."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",De ahí la importancia de proponerles la existencia de instancias que permitan una dinámica de trabajo y un seguimiento ejecutivo de los vastos asuntos que tenemos bajo nuestra responsabilidad para que luego puedan ser presentados al pleno de este órgano.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Inicialmente se propone que exista una comisión por cada uno de los puntos que comprenden el ya aprobado programa de trabajo 2025-2026 y me gustaría comentarles la propuesta de forma un poco más detallada.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, ahí están las comisiones proyectadas, que están alineadas al plan de trabajo 2025-2026."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Comisión para la actualización e implementación del Programa Nacional de Educación Superior, PRONES, que es la siguiente fase que debemos comenzar a desarrollar."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Dos, la comisión para la revisión e implementación del Programa de Ampliación de la Oferta de Educación Superior, PAOES, del cual debemos actualizar los datos de la ampliación de la oferta educativa de este año."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Comisión para la participación del Sistema Nacional de Educación Superior en el Plan México. 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Una comisión de acompañamiento a la estrategia nacional para la educación superior a lo largo de la vida, con el planteamiento de un cambio de paradigma en las instituciones de educación superior para abrirnos a un plazo más largo e innovar en otros tipos de certificaciones como constancias, certificaciones y diplomas, y las microcredenciales."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Comisión para el acompañamiento de la estrategia, y todo el marco mexicano de cualificaciones que ya estamos trabajando, la comisión en la SEP para su actualización, que también forma parte del punto número cuatro y que es un andamiaje importante."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Cinco, comisión para el acompañamiento de la estrategia de impulso de la investigación científico humanística, el desarrollo tecnológico y la innovación. En la última reunión de ANUIES en Guadalajara, les hemos pedido a todas las universidades que pongan todas sus capacidades a disposición. La idea es que todas las universidades pongan a disposición sus recursos, y vamos a crear un catálogo de todas las capacidades de las instituciones de educación superior en recursos materiales y humanos para temas de investigación científica, para presentarlo a la SECIHTI y mostrar las capacidades instaladas en las instituciones."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, una comisión que acompañe toda esta estrategia y unifique las prioridades de la SECIHTI con las capacidades de las universidades para contribuir conjuntamente a la investigación científico humanística, el desarrollo tecnológico y la innovación."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Seis, comisión para la definición e implementación del espacio común de la educación superior, mejor conocido como ECOES."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Siete, comisión para el fortalecimiento del sistema de evaluación y acreditación de la educación superior, SEAES, una comisión que nos ayude a darle continuidad a las fases en las que se encuentra el SEAES."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Ocho, comisión para el acompañamiento de las comisiones estatales de planeación de la educación superior, los COEPES."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Nueve, comisión para la contribución al logro de los objetivos del desarrollo sostenible."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Diez, comisión del Plan de Acción para la Igualdad de Género e impulso a las estrategias nacionales de cultura de paz y vida saludable."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Once, comisión para la orientación vocacional en la educación media superior y en la educación superior."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y doce, comisión sobre el financiamiento público para impulsar la expansión y transformación de la educación superior."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",La propuesta de trabajo se alinea a los ejes establecidos en el programa de trabajo 2025-2026 del CONACES para el mejor cumplimiento de sus propósitos.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Como dijimos al principio, esta propuesta de trabajo está alineada al plan de trabajo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Este es el mecanismo para la integración de las comisiones de trabajo, con el fin de observar los principios de corresponsabilidad, participación propositiva, respeto al federalismo, a la autonomía universitaria, a la diversidad educativa y buscando que se reflejen los distintos subsistemas, regiones e instituciones públicas y particulares. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Se propone que cada integrante del CONACES informe al Secretariado Técnico Conjunto las comisiones en las que desea participar, con base en las siguientes sugerencias."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Cada integrante podrá participar en un máximo de tres comisiones de trabajo, para facilitar su participación e involucramiento."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Se sugiere que cada comisión tenga un máximo de 13 integrantes.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Cada integrante podrá enviar al Secretariado Técnico Conjunto, por orden de preferencia, hasta cinco comisiones de trabajo en las que desearía participar, con fecha límite el 4 de julio de 2025, utilizando el formulario cuyo enlace se les proporcionará."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","De acuerdo con el orden de recepción de las solicitudes, el Secretariado Técnico Conjunto comunicará los listados de los integrantes que formarán parte de las comisiones de trabajo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si no hay suficientes solicitudes para alguna comisión, el Secretariado Técnico Conjunto propondrá integrantes para conformarla."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Una vez reunidas las comisiones, y de acuerdo con la fracción cuarta del numeral décimo octavo de los lineamientos de operación y funcionamiento del CONACES, cada una fijará sus normas de operación."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Se sugiere que en cada comisión una persona desempeñe la presidencia y otra la secretaría.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Esa es la propuesta, conformar comisiones de máximo 13 personas, un número amplio, pero suficientemente reducido para poder llegar a acuerdos. Esperamos evitar la situación de que, si se quiere que algo se resuelva, se le asigne a una sola persona; y si no, se envía a una comisión. Comisiones grandes dificultan la resolución de asuntos. Creemos que comisiones de 13 personas son más eficientes que dejar que los más de 100 miembros del CONACES trabajen con un plan sin avanzar."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Definir comisiones permitirá un seguimiento permanente durante todo el año de cada uno de los objetivos del plan de trabajo, facilitando el proceso en comparación con que todo el CONACES lo lleve a cabo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Esta es una propuesta metodológica para conformar estas comisiones, para dar seguimiento durante todo el año a nuestro plan de trabajo.  Hay agendas muy importantes, y para la Secretaría de Educación, una comisión de 13 personas facilitará mucho el seguimiento."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Evidentemente, todos los acuerdos deberán presentarse al pleno, pero el seguimiento lo harán las comisiones."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",El acuerdo sería el siguiente.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Sí, adelante."
Integrante,"Viendo la composición de las comisiones, creo que debemos abordar un tema estratégico: la vinculación de la educación superior con el mundo laboral."
Integrante,"Debemos desarrollar propuestas de políticas al respecto.  Sabemos que hay un problema grave de subempleo y desempleo profesional en el país. Debemos ampliar la cobertura, expandirla, pero también diseñar políticas de articulación entre educación superior, mercado laboral y economía. No sé si se necesite una comisión adicional o si se puede incluir en alguna de las existentes, pero es un tema importante."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","En el Plan México, estamos realizando 11 foros. ¿Cuántos llevamos, Blanca? Mañana es el séptimo de 11.  En la estrategia del Plan México, se ha convocado a todos los sectores productivos a discutir prioridades, particularmente las currículas académicas. Se hizo un análisis de los planes de estudio de las universidades del país, que entregamos al sector productivo por sector. El primero fue el textil, luego las tecnologías de la información y la comunicación. ¿Cuál es el de mañana, Blanca? Aeronáutico, ¿no? Aeroespacial."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Hemos estado trabajando en la vinculación de los planes de estudio con las prioridades del Plan México. El Plan México no lo abarca todo; hay más sectores productivos y prioridades. 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Veremos si en alguna de las comisiones. A ver si nos pueden indicar en qué comisión podría quedar, porque lo que hemos hecho hasta ahora se centra en las prioridades del Plan México. Pero la vinculación de la oferta educativa con el sector productivo para la pertinencia de los programas debe ser permanente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","A ver, en cuál... Tres, comisión para la... Tres o cuatro. Tres o cuatro, ¿verdad? Pues tres o cuatro podría ser."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Efectivamente, porque también la estrategia del tema de la educación a lo largo de la vida justo es eso. O sea, lo que queremos es alinear que las universidades sigamos preparando a nuestros egresados y actualizándolos al mercado a lo que el conocimiento cambia."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces podemos tomar nota de que puede ser en el punto cuatro. Que quede claro que esa comisión se encargue de la vinculación de las universidades, de los programas educativos, de los contenidos con los sectores productivos y la alineación y la pertinencia de los planes."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, si le parece, consejero, que quede anotado que esa comisión tendrá que promover esa vinculación, si les parece."
Integrante,"También en la ocho, que tiene que ver con las COEPES en cada estado, están las instancias de vinculación, consulta y participación social y ese es el órgano estatal al que le corresponde justamente ese tema; más bien sería en la ocho vigilar ese punto, de que estén establecidas formalmente y que estén operando"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","De acuerdo, también podemos tomar nota de que revisemos que las COEPES sí hagan un trabajo de vinculación en cada estado con sus regiones y que se esté vinculando su sistema educativo con el sector empresarial. Entonces también podemos tomar nota de que la comisión número ocho nos ayude a revisar esa vinculación."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Sí, en efecto, en los ejercicios que estamos haciendo con las COEPES, que es justo a lo que se refiere el punto ocho, nos enfocamos de manera precisa en esa vinculación, entonces creo que queda muy bien ahí. "
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Y la otra cosa es que la vez anterior la doctora Gloria del Castillo había propuesto hacer una revisión, si te entendí bien, querida Gloria, de hasta dónde llegamos en el ejercicio anterior. Y a partir de ahí ver qué tiene continuidad y qué no. "
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Entonces, no sé, podría ser que transversalmente en las comisiones hubiera algún punto específico que previera hasta dónde llegamos si el punto ya tenía que ver con el trabajo previo y cómo seguimos, o si hubiese una comisión específica que se encargara un poco de dar cuenta, digamos, de qué se hizo en el periodo anterior y qué se tendría que hacer hacia adelante."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Sí, ¿era por ahí?"
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Sí, adelante."
"Gloria del Castillo Alemán, directora general de la FLACSO ","Bueno, quería decir otra cosa, pero respecto a eso creo que es, creo que eso se puede lograr con el seguimiento de los acuerdos, de las cuestiones que faltan para ver los alcances de los cambios y en función de eso, pues ver las comisiones, pero creo que sí es muy importante hacer como un corte de caja, un alto en el camino y visualizar, digamos, los pasos a seguir en función de este, pues de un nuevo periodo."
"Gloria del Castillo Alemán, directora general de la FLACSO ","Pero también quería decir otra cosa respecto a la vinculación de la educación superior, con el mercado de trabajo, me parece que es fundamental y me sumo a eso, pero también me parece fundamental que tiene que tener un pie, como un pie muy sólido en una de las comisiones, me parece que la comisión ideal es la educación a lo largo de la vida y en función de eso hacer los otros vínculos, porque si no lo vamos a fragmentar, va a ser viéndolo o sea, de distintas maneras y se puede hacer como un rompecabezas sin ninguna figura."
"Gloria del Castillo Alemán, directora general de la FLACSO ","Entonces, reitero, creo que su pata o su eje es la educación superior a lo largo de la vida"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","De acuerdo. Muy bien, muchas gracias. Bueno, por Zoom nos pide la palabra de la Secretaría de Innovación de Jalisco, esta Fanny Guadalupe, entonces si nos pueden ayudar a conectarnos hasta Jalisco. A ver si hay una torta ahogada por ahí que nos… "
Fanny Guadalupe de la Secretaría de Innovación de Jalisco,¿Cómo está estimado subsecretario? Ya viene caminando la torta ahogada. Qué gusto saludar…
Fanny Guadalupe de la Secretaría de Innovación de Jalisco,(Se cortó el audio)
